frame,contactArea_mm2
1,1837.11836080624
5,1841.45183265545
9,1830.18148461089
13,1837.18814790978
17,1820.28848204722
21,1829.08459167246
25,1826.33935978872
29,1849.80335608584
33,0
37,1840.88288323471
41,1848.0978840319
45,1841.67004717175
49,1838.19686274729
53,1859.03815939122
57,1821.97735327131
61,1832.57939165098
65,1825.48382175942
69,1784.8294488401
73,1778.493293083
77,1785.27335276569
81,0
85,0
89,1783.5131868966
93,1772.11662160419
97,0
101,0
105,0
109,0
113,0
117,0
121,0
125,0
129,0
133,0
137,0
141,0
145,0
149,0
153,0
157,0
161,0
165,0
169,1747.88266959934
173,1784.83000549183
177,1759.06666959632
181,1770.33985134841
185,1766.36114170411
189,1791.94541974493
193,1793.06195558706
197,1810.22610729056
201,1801.39420186289
205,0
209,0
213,0
217,0
221,0
225,0
229,0
233,0
237,0
241,0
245,1811.72638265875
249,1798.55512805318
253,1819.98763045537
257,1807.15444964916
261,1819.73014694503
265,1812.61413249212
269,1795.29391094504
273,1805.09422854632
277,1791.39150464688
281,1771.10394275847
285,1791.16632488002
289,1810.16313767898
293,1802.54011129159
297,1812.54036243147
301,1805.20856005478
305,1807.1411392295
309,1823.32359366927
313,1810.00652485398
317,1770.93847021177
321,1789.49456019269
325,1811.88228818369
329,1816.24629951336
333,1807.2666538344
337,1764.52147374012
341,1797.93292899098
345,1804.93925878842
349,1806.42470012731
